FANTA TEAM;GIOCATORE;PREZZO ASTA;RUOLO;SQUADRA
NEVERENDING TURD;Marco Mancosu ;2;CC;LEC
LOKOMOTIV SMILLAUS;Ante Rebic;5;AT;MIL
REAL GHETTO;Rafael Leao ;3;AT;MIL
REAL GHETTO;Krzysztof Piatek ;74;AT;MIL
ASSASSIN CRIN;Ismael Bennacer ;1;CC;MIL
LOKOMOTIV SMILLAUS;Hakan Calhanoglu ;2;CC;MIL
LOKOMOTIV SMILLAUS;Lucas Paqueta' ;18;CC;MIL
PARTIZAN DEGRADO;Frank Kessie ;2;CC;MIL
REAL GHETTO;Suso;16;CC;MIL
CSK LA RISSA;Andrea Conti;1;DF;MIL
MATTIA TEAM V5;Léo Duarte;1;DF;MIL
NEVERENDING TURD;Theo Hernandez;3;DF;MIL
PARTIZAN DEGRADO;Alessio Romagnoli;7;DF;MIL
REAL GHETTO;Davide Calabria ;1;DF;MIL
REAL GHETTO;Gianluigi Donnarumma ;16;POR;MIL
REAL GHETTO;José Manuel Reina;1;POR;MIL
AZTEKA FC;Dries Mertens ;55;AT;NAP
MATTIA TEAM V5;Hirving Lozano ;25;AT;NAP
NEVERENDING TURD;Lorenzo Insigne ;61;AT;NAP
PARTIZAN DEGRADO;Fernando Llorente ;1;AT;NAP
PARTIZAN DEGRADO;Arkadiusz Milik;75;AT;NAP
AZTEKA FC;Allan;6;CC;NAP
MATTIA TEAM V5;Fabian Ruiz ;30;CC;NAP
MATTIA TEAM V5;Piotr Zielinski ;20;CC;NAP
NEVERENDING TURD;Jose' Callejon;11;CC;NAP
AZTEKA FC;Kalidou Koulibaly ;20;DF;NAP
AZTEKA FC;Kostas Manolas ;7;DF;NAP
CSK LA RISSA;Faouzi Ghoulam ;5;DF;NAP
PARTIZAN DEGRADO;Giovanni Di Lorenzo ;7;DF;NAP
REAL GHETTO;Mario Rui ;2;DF;NAP
CSK LA RISSA;Orestis Karnezis;1;POR;NAP
CSK LA RISSA;Alex Meret ;33;POR;NAP
CSK LA RISSA;David Ospina;1;POR;NAP
ASSASSIN CRIN;Gervinho;23;AT;PAR
LOKOMOTIV SMILLAUS;Roberto Inglese ;13;AT;PAR
AZTEKA FC;Hernani ;1;CC;PAR
NEVERENDING TURD;Dejan Kulusevski ;1;CC;PAR
REAL GHETTO;Juraj Kucka ;1;CC;PAR
ASSASSIN CRIN;Bruno Alves;2;DF;PAR
PARTIZAN DEGRADO;Riccardo Gagliolo ;1;DF;PAR
MATTIA TEAM V5;Luigi Sepe ;1;POR;PAR
ASSASSIN CRIN;Matteo Darmian;2;DF;PAR
LOKOMOTIV SMILLAUS;Edin Dzeko ;115;AT;ROM
LOKOMOTIV SMILLAUS;Nikola Kalinic;1;AT;ROM
ASSASSIN CRIN;Nicolo' Zaniolo ;14;CC;ROM
CSK LA RISSA;Cengiz Under ;8;CC;ROM
MATTIA TEAM V5;Justin Kluivert ;1;CC;ROM
MATTIA TEAM V5;Henrikh Mkhitaryan;17;CC;ROM
PARTIZAN DEGRADO;Lorenzo Pellegrini ;9;CC;ROM
PARTIZAN DEGRADO;Jordan Veretout ;2;CC;ROM
ASSASSIN CRIN;Alessandro Florenzi ;6;DF;ROM
ASSASSIN CRIN;Davide Zappacosta ;2;DF;ROM
MATTIA TEAM V5;Aleksandar Kolarov ;30;DF;ROM
NEVERENDING TURD;Gianluca Mancini ;4;DF;ROM
REAL GHETTO;Federico Fazio ;2;DF;ROM
REAL GHETTO;Chris Smalling;2;DF;ROM
REAL GHETTO;Leonardo Spinazzola;1;DF;ROM
NEVERENDING TURD;Pau Lopez;15;POR;ROM
ASSASSIN CRIN;Manolo Gabbiadini ;1;AT;SAM
ASSASSIN CRIN;Fabio Quagliarella ;41;AT;SAM
CSK LA RISSA;Nicola Murru ;1;DF;SAM
PARTIZAN DEGRADO;Jeison Murillo ;1;DF;SAM
AZTEKA FC;Emil Audero ;1;POR;SAM
ASSASSIN CRIN;Gregoire Defrel;3;AT;SAS
AZTEKA FC;Domenico Berardi ;16;AT;SAS
LOKOMOTIV SMILLAUS;Jeremie Boga ;1;AT;SAS
NEVERENDING TURD;Francesco Caputo ;25;AT;SAS
ASSASSIN CRIN;Alfred Duncan ;3;CC;SAS
CSK LA RISSA;Hamed Junior Traore ;1;CC;SAS
LOKOMOTIV SMILLAUS;Gian Marco Ferrari ;1;DF;SAS
ASSASSIN CRIN;Andrea Consigli ;1;POR;SAS
AZTEKA FC;Andrea Petagna ;11;AT;SPA
REAL GHETTO;Jasmin Kurtic ;1;CC;SPA
REAL GHETTO;Igor;1;DF;SPA
MATTIA TEAM V5;Etrit Berisha ;1;POR;SPA
AZTEKA FC;Simone Zaza ;3;AT;TOR
PARTIZAN DEGRADO;Iago Falque;4;AT;TOR
REAL GHETTO;Andrea Belotti ;114;AT;TOR
LOKOMOTIV SMILLAUS;Daniele Baselli ;1;CC;TOR
NEVERENDING TURD;Simone Verdi;10;CC;TOR
PARTIZAN DEGRADO;Alejandro Berenguer ;1;CC;TOR
LOKOMOTIV SMILLAUS;Armando Izzo ;10;DF;TOR
